#Nu_in   ,,,,,,,,,,,,,
Ion/Neutral,H,He,N,O,CO,N2,O2,CO2,,,,,
H+,R,10.6,26.1,R,35.6,33.6,32,41.4,,,,,
He+,4.71,R,11.9,10.1,16.9,16,15.3,20,,,,,
C+,1.69,1.71,5.73,4.94,8.74,8.26,8.01,10.7,,,,,
N+,1.45,1.49,R,4.42,7.9,7.47,7.25,9.73,,,,,
O+,R,1.32,4.62,R,7.22,6.82,6.64,8.95,,,,,
O+2D,R,1.32,4.62,R,7.22,6.82,6.64,8.95,,,,,
O+2P,R,1.32,4.62,R,7.22,6.82,6.64,8.95,,,,,
CO+,0.74,0.79,2.95,2.58,R,4.24,4.49,6.18,,,,,
N2+,0.74,0.79,2.95,2.58,4.84,R,4.49,6.18,,,,,
NO+,0.69,0.74,2.79,2.44,4.59,4.34,4.27,5.89,,,,,
O2+,0.65,0.7,2.64,2.31,4.37,4.13,R,5.63,,,,,
CO2+,0.47,0.51,2,1.76,3.4,3.22,3.18,R,,,,,
1.00E-16,,,,,,,,,,,,,
,,,,,,,,,,,,,
#Resonant_Nu_in   ,,,,,,,,,,,,,
Ion,Neutral,Temp,Coef1,Tn Frac,Ti Frac,Coef2,,,,,,,
H+,H,50,2.65E-16,0.5,0.5,0.083,,,,,,,
He+,He,50,8.73E-17,0.5,0.5,0.093,,,,,,,
N+,Neutral,275,3.83E-17,0.5,0.5,0.063,,,,,,,
O+,O,235,3.67E-17,0.5,0.5,0.064,,,,,,,
O+2D,O,235,3.67E-17,0.5,0.5,0.064,,,,,,,
O+2P,O,235,3.67E-17,0.5,0.5,0.064,,,,,,,
N2+,N2,170,5.14E-17,0.5,0.5,0.069,,,,,,,
O2+,O2,800,2.59E-17,0.5,0.5,0.073,,,,,,,
H+,O,300,6.61E-17,0,1,0.047,,,,,,,
O+,H,300,4.63E-18,1,0.0625,0,,,,,,,
O+2D,H,300,4.63E-18,1,0.0625,0,,,,,,,
O+2P,H,300,4.63E-18,1,0.0625,0,,,,,,,
CO+,CO,525,3.42E-17,0.5,0.5,0.085,,,,,,,
CO2+,CO2,850,2.85E-17,0.5,0.5,0.083,,,,,,,
,,,,,,,,,,,,,
#Bst,,,,,,,,,,,,,
s/t,H+,He+,C+,N+,O+,CO+,N2+,NO+,O2+,CO2+,,,
H+,0.9,1.14,1.22,1.23,1.23,1.25,1.25,1.25,1.25,1.26,,,
He+,0.28,0.45,0.55,0.56,0.57,0.59,0.59,0.6,0.6,0.6,,,
C+,0.102,0.18,0.26,0.27,0.28,0.31,0.31,0.31,0.31,0.32,,,
N+,0.088,0.16,0.23,0.24,0.25,0.28,0.28,0.28,0.28,0.3,,,
O+,0.077,0.14,0.21,0.22,0.22,0.25,0.25,0.26,0.26,0.27,,,
CO+,0.045,0.085,0.13,0.14,0.15,0.17,0.17,0.17,0.18,0.19,,,
N2+,0.045,0.085,0.13,0.14,0.15,0.17,0.17,0.17,0.18,0.19,,,
NO+,0.042,0.08,0.12,0.13,0.14,0.16,0.16,0.16,0.17,0.18,,,
O2+,0.039,0.075,0.12,0.12,0.13,0.15,0.15,0.16,0.16,0.17,,,
CO2+,0.029,0.055,0.09,0.09,0.1,0.12,0.12,0.12,0.12,0.14,,,
1.00E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,
#Diff0,,,,,,,,,,,,,
,O,O2,N2,N,NO,He,CO2,CO,Ar,N_4S,N_2D,N_2P,O_1D
O,0,0.969,0.969,0.969,0.715,3.44,0.2219,0.9466,0.551,0.969,0.969,0.969,0
O2,0.969,0,0.715,0.969,0.715,3.208,0.577,0.83,0.717,0.969,0.969,0.969,0.969
N2,0.969,0.715,0,0.969,0.527,2.939,0.658,0.928,0.664,0.969,0.969,0.969,0.969
N,0.969,0.969,0.969,0,0.969,2.939,0.2219,0.9466,0.551,0,0,0,0.969
NO,0.715,0.715,0.527,0.969,0,2.939,0,0,0,0.969,0.969,0.969,0.715
He,3.44,3.208,2.939,2.939,2.939,0,2.4292,1159.55,1000,2.939,2.939,2.939,3.44
CO2,0.2219,0.577,0.658,0.2219,0,2.4292,0,0.7762,1.192,0.2219,0.2219,0.2219,0.2219
CO,0.9466,0.83,0.928,0.9466,0,1159.55,0.7762,0,0.6625,0.9466,0.9466,0.9466,0.9466
Ar,0.551,0.717,0.664,0.551,0,1000,1.192,0.6625,0,0.551,0.551,0.551,0.551
N_4S,0.969,0.969,0.969,0,0.969,2.939,0.2219,0.9466,0.551,0,0,0,0.969
N_2D,0.969,0.969,0.969,0,0.969,2.939,0.2219,0.9466,0.551,0,0,0,0.969
N_2P,0.969,0.969,0.969,0,0.969,2.939,0.2219,0.9466,0.551,0,0,0,0.969
O_1D,0,0.969,0.969,0.969,0.715,3.44,0.2219,0.9466,0.551,0.969,0.969,0.969,0
1.00E+17,"NOTE: Diff0 and DiffExp are tables with values from Earth, Mars, and Jupiter combined. If there were two or three different values, Earth's value is shown over mars, and mars over Jupiter. Also, all unknown values are set to zero for now.",,,,,,,,,,,,
,,,,,,,,,,,,,
#DiffExp,,,,,,,,,,,,,
,O,O2,N2,N,NO,He,CO2,CO,Ar,N_4S,N_2D,N_2P,O_1D
O,0,0.774,0.774,0.774,0.75,0.749,0.75,0.75,0,0.774,0.774,0.774,0
O2,0.774,0,0.75,0.774,0.75,0.71,0.749,0.724,0,0.774,0.774,0.774,0
N2,0.774,0.75,0,0.774,0.81,0.718,0.752,0.71,0,0.774,0.774,0.774,0
N,0.774,0.774,0.774,0,0.774,0.718,0,0,0,0,0,0,0
NO,0.75,0.75,0.81,0.774,0,0.718,0,0,0,0.774,0.774,0.774,0
He,0.749,0.71,0.718,0.718,0.718,0,0.72,0.524,0,0.718,0.718,0.718,0
CO2,0.75,0.749,0.752,0,0,0.72,0,0.75,0.75,0,0,0,0.75
CO,0.75,0.724,0.71,0,0,0.524,0.75,0,0.75,0,0,0,0.75
Ar,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0
N_4S,0.774,0.774,0.774,0,0.774,0.718,0,0,0,0,0,0,0
N_2D,0.774,0.774,0.774,0,0.774,0.718,0,0,0,0,0,0,0
N_2P,0.774,0.774,0.774,0,0.774,0.718,0,0,0,0,0,0,0
O_1D,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0